Wakayama,F,14033 ,17055 ,18933 ,19497 ,19986 ,18638 ,20089 ,23555 ,26056 ,32329 ,34371 ,32213 ,31734 ,31968 ,41282 ,33713 ,29151 ,23218 ,13266 ,4647 ,777 
Tottori,M,10130 ,11847 ,12337 ,12977 ,12347 ,11150 ,12595 ,15352 ,16999 ,19342 ,17868 ,15898 ,17094 ,19044 ,21539 ,14323 ,10117 ,7004 ,3119 ,732 ,67 
Tottori,F,9428 ,11150 ,11838 ,12376 ,11463 ,10868 ,12137 ,14674 ,16493 ,18650 ,17753 ,16587 ,18178 ,20020 ,23711 ,17449 ,15288 ,13652 ,8833 ,3342 ,635 
Shimane,M,11639 ,14179 ,14971 ,15417 ,14340 ,13805 ,14638 ,17462 ,19653 ,23052 ,21040 ,18694 ,20832 ,22676 ,27486 ,18784 ,13133 ,9875 ,4509 ,982 ,116 
Shimane,F,11184 ,13369 ,14113 ,14518 ,13368 ,12584 ,14047 ,16692 ,18555 ,21658 ,20664 ,19102 ,21090 ,23013 ,29111 ,22479 ,19515 ,18668 ,12172 ,4645 ,819 
Okayama,M,34533 ,40261 ,43246 ,44913 ,48748 ,46735 ,46751 ,52716 ,56626 ,69055 ,66543 ,54203 ,52682 ,54601 ,66897 ,51492 ,36832 ,23108 ,9732 ,2153 ,174 
Okayama,F,32727 ,38249 ,40670 ,42022 ,46430 ,43712 ,44815 ,51309 ,55180 ,67645 ,66398 ,55354 ,55456 ,57670 ,75158 ,62592 ,50849 ,41287 ,25644 ,8694 ,1564 
Hiroshima,M,50335 ,60054 ,65031 ,65954 ,71871 ,70177 ,71758 ,79100 ,86438 ,105384 ,102794 ,83158 ,78317 ,79553 ,97988 ,76335 ,53493 ,32247 ,12711 ,2920 ,308 
Hiroshima,F,47765 ,57380 ,62068 ,62446 ,65390 ,63885 ,65681 ,75819 ,83834 ,102879 ,102792 ,85228 ,81855 ,84571 ,109970 ,92547 ,74755 ,57338 ,33774 ,12399 ,2268 
Yamaguchi,M,21424 ,26276 ,28805 ,29974 ,30736 ,28259 ,29396 ,34132 ,38201 ,47551 ,45874 ,38025 ,39062 ,43127 ,55108 ,39658 ,29037 ,18125 ,7462 ,1588 ,157 
Yamaguchi,F,20502 ,24388 ,27751 ,28635 ,28163 ,25300 ,26650 ,33055 ,37173 ,45909 ,46479 ,40460 ,41962 ,46744 ,62648 ,50698 ,43693 ,34816 ,20597 ,7238 ,1342 
Tokushima,M,11547 ,14142 ,15148 ,15726 ,16106 ,15039 ,16309 ,19250 ,22215 ,25205 ,24040 ,21746 ,22385 ,25009 ,30761 ,20313 ,14744 ,9744 ,4064 ,868 ,81 
Tokushima,F,10950 ,13101 ,14291 ,14995 ,15323 ,13898 ,15339 ,18904 ,21060 ,25408 ,25062 ,23133 ,24035 ,26674 ,33352 ,23956 ,20975 ,18137 ,11221 ,3888 ,597 
Kagawa,M,16330 ,20137 ,21747 ,22374 ,23942 ,21869 ,23132 ,26765 ,29645 ,36351 ,34321 ,27814 ,27811 ,29396 ,37248 ,26701 ,18871 ,12084 ,5397 ,1234 ,131 
Kagawa,F,15735 ,18879 ,20534 ,21673 ,21658 ,20073 ,21441 ,25546 ,28830 ,35658 ,33871 ,28772 ,29209 ,31218 ,41686 ,32304 ,25901 ,21740 ,13224 ,4642 ,847 
Ehime,M,21407 ,26536 ,29472 ,30224 ,29025 ,28438 ,30378 ,35046 ,39611 ,47931 ,45861 ,39786 ,40927 ,42678 ,53322 ,36974 ,26847 ,17286 ,7518 ,1718 ,180 
Ehime,F,20225 ,24972 ,28235 ,28730 ,27896 ,26286 ,28804 ,34813 ,38949 ,47465 ,47010 ,42797 ,43964 ,47158 ,60875 ,46365 ,39912 ,32809 ,20141 ,7276 ,1276 
Kochi,M,10581 ,12780 ,14007 ,15078 ,14755 ,13677 ,13943 ,17214 ,19956 ,24664 ,23414 ,20157 ,21468 ,22887 ,28541 ,20887 ,14827 ,9671 ,4374 ,1020 ,78 
Kochi,F,10137 ,12272 ,13241 ,14308 ,13510 ,12401 ,13574 ,17031 ,19514 ,24297 ,23969 ,21455 ,23012 ,24777 ,32106 ,26230 ,22026 ,18784 ,12434 ,4644 ,869 
Fukuoka,M,100337 ,117862 ,122396 ,119977 ,135744 ,130675 ,132288 ,152773 ,167612 ,186516 ,176684 ,146100 ,142370 ,147153 ,174804 ,116857 ,85780 ,49743 ,19706 ,4148 ,394 
Fukuoka,F,96677 ,111699 ,116937 ,115327 ,133398 ,133766 ,135132 ,155042 ,169839 ,189507 ,182381 ,156599 ,153119 ,161582 ,203170 ,151312 ,129546 ,99968 ,56886 ,19456 ,3500 
Saga,M,15761 ,18667 ,20109 ,19954 ,19255 ,17919 ,18728 ,22562 ,24802 ,27106 ,25220 ,23292 ,25260 ,27333 ,30765 ,19221 ,14156 ,9441 ,3966 ,862 ,79 
Saga,F,15054 ,17650 ,19259 ,19139 ,18819 ,17241 ,18559 ,22456 ,24783 ,27178 ,26117 ,25161 ,27155 ,29490 ,34026 ,24134 ,21896 ,18317 ,11196 ,4046 ,714 
Nagasaki,M,23490 ,28251 ,30393 ,30179 ,27714 ,25688 ,28305 ,33540 ,36812 ,42110 ,42067 ,39356 ,43422 ,47011 ,53375 ,33700 ,25340 ,17217 ,7007 ,1483 ,117 
Nagasaki,F,22301 ,26847 ,28560 ,28838 ,26622 ,24934 ,28154 ,34053 ,37911 ,43545 ,44435 ,43078 ,46480 ,50544 ,59588 ,43010 ,39907 ,32493 ,19653 ,7242 ,1237 
Kumamoto,M,33407 ,39829 ,42331 ,40970 ,39366 ,38017 ,40638 ,48195 ,52434 ,57357 ,53097 ,50483 ,54201 ,59162 ,65719 ,43420 ,32108 ,23060 ,9867 ,2281 ,243 
Kumamoto,F,32249 ,38128 ,40055 ,39252 ,38480 ,37173 ,40946 ,48703 ,52520 ,57941 ,55517 ,55162 ,58447 ,62971 ,72528 ,53328 ,48906 ,42099 ,25764 ,9648 ,1763 
Oita,M,19132 ,23465 ,25423 ,25811 ,26564 ,24810 ,25571 ,30601 ,34006 ,39187 ,36479 ,31807 ,34022 ,37629 ,44897 ,30798 ,22668 ,14916 ,6685 ,1436 ,117 
Oita,F,18530 ,22193 ,24267 ,24579 ,24369 ,22478 ,24292 ,29440 ,33217 ,38647 ,37474 ,34415 ,36802 ,40671 ,50880 ,38846 ,33639 ,28372 ,17144 ,6172 ,1027 
Miyazaki,M,20040 ,24050 ,26197 ,25409 ,22531 ,21722 ,23111 ,28146 ,32107 ,36082 ,32757 ,30362 ,33829 ,37585 ,42723 ,27528 ,20787 ,14368 ,6039 ,1296 ,134 
Miyazaki,F,19212 ,23074 ,25231 ,24311 ,21749 ,20624 ,23386 ,28886 ,32459 ,36446 ,34463 ,33040 ,36643 ,40819 ,47989 ,34067 ,30623 ,26358 ,15768 ,5732 ,1051 
Kagoshima,M,30104 ,36506 ,39385 ,37429 ,31499 ,31184 ,34280 ,42721 ,46729 ,50579 ,47180 ,46812 ,52648 ,59821 ,64030 ,39153 ,30339 ,21363 ,9338 ,2100 ,202 
Kagoshima,F,29079 ,34688 ,37279 ,35835 ,32103 ,31715 ,36748 ,44647 ,49117 ,51967 ,50366 ,50794 ,55713 ,62554 ,67234 ,47494 ,44616 ,39549 ,25387 ,9326 ,1755 
Okinawa,M,38171 ,42887 ,43594 ,41204 ,39567 ,39145 ,41188 ,47300 ,48500 ,54610 ,51149 ,44100 ,45258 ,46033 ,45406 ,23588 ,20883 ,13612 ,5213 ,971 ,153 
Okinawa,F,36026 ,41130 ,41985 ,39315 ,37471 ,37968 ,41035 ,47609 ,48965 ,53318 ,50584 ,44306 ,44772 ,45986 ,46358 ,27423 ,27389 ,22501 ,12793 ,4603 ,1151 
